Id,Name,Ratings,Price_Rs,Original_Price_Rs,Discount_Element,Annual_Power_Usage,Room_Size_sqft,Warranty
761,"LG Super Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Hot and Cold Split Inverter 4 Way Swing,...",3.9,"73,991","79,990",7%, 1015.7 kWh, 111 - 150 ,1 Year Warranty on Product
762,Panasonic 1.5 Ton 3 Star Split AC  - White,N/A,"41,910","42,700",1%, 1122.45 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compresser
763,Panasonic 2 Ton 4 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"55,000","76,900",28%, 2090 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
764,"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Pastel Blue",4.2,"37,388","45,990",18%, 1049.79 kWh, 111 - 150 ,1 Year comprehensive and 10 years on Compressor
765,LG 1.5 Ton 2 Star Split Dual Inverter AC  - White,3.7,"47,800","47,900",N/A, 1031.35 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor
766,Lloyd 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.2,"44,999","52,999",15%, 698.49 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
767,Gazhal 1.5 Ton Split Inverter AC  - Off White,N/A,"35,749","44,480",19%, 111 - 150 sqft,,
768,Lloyd 2023 Model 1.5 Ton 4 Star Split Inverter AC  - White,4.1,"43,990","63,990",31%, 863.15 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
769,Panasonic 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,5,"36,245","51,960",30%, 686.48 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
770,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"65,999","70,000",5%, 783.33 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
